Area/ State,Name,Contact,Website
New Mexico,New Mexico Health,"Agora Crisis Center: 1-855-505-4505 (Toll Free) or 
505-277-3013 (Local)
New Mexico Crisis and Access Line: 1-855-662-7474
New Mexico Peer to Peer Warmline (non emergency): 1-855-466-7100
Solace Crisis Treatment Center: 1-844-667-2457 (Toll Free) or
505-988-1951 (Local)",https://www.nmhealth.org/contact/crisis/
New York,Samaritans,"Call or text 988
Crisis Text Line: Text ‘Got5’ to 741-741
Samaritans free, anoynomous, and confidential hotline: 212-673-3000",https://www.preventsuicideny.org/
North Carolina,North Carolina Crisis Services,"Call or text 988
The NC Peer Warmline (non emergency): 855-PEERS-NC or 855-773-7762",https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services
North Dakota,North Dakota Health & Human Services,"Firstlink helplines: Call 988 or 211 or text line 898-211
Hour Helpline 24: text your zip code to 899 211",https://www.hhs.nd.gov/behavioral-health/prevention/suicide
Ohio,988 Suicide and Crisis Lifeline in Ohio,Call or text 988,https://mha.ohio.gov/get-help/crisis-systems/988-suicide-and-crisis-lifeline-in-ohio
Oklahoma,Oklahoma Law,Call or text 988,https://oklaw.org/resource/the-national-suicide-prevention-hotline?ref=g7xWe
Oregon,Lines for Life,Call or text 988,https://www.linesforlife.org/get-help-now/services-and-crisis-lines/
Pennsylvania,Prevent Suicide Pennsylvania,"Call or text 988
STAR-Center Crisis: 1-888-796-8226",https://preventsuicidepa.org/resources/general-info/
Rhode Island,National Alliance on Mental Illness Rhode Island,"Call or text 988
The Samaritans of Rhode Island: (401) 272-4044 or (800) 365-4044",https://namirhodeisland.org/resources/national-and-state/
South Carolina,"South Carolina Department of Mental Health
Office of Suicide Prevention","SCDMH’s mobile crisis line: 1-833-364-2274
Crisis text line: Text HOPE4SC to 741741
Mental Health America South Carolina: 803-779-5363
National Alliance on Mental Illness (NAMI) South Carolina: 
803-733-9591",https://osp.scdmh.org/
South Dakota,Helpline Center,Call or text 988 or 211,https://www.helplinecenter.org/suicide-and-crisis-support/
Tennessee,"Department of Mental Health & Substance Abuse
Services","Statewide Crisis Line: 855-CRISIS-1 (855-274-7471)
WALK-IN CENTERS: 
Frontier Health
208 E. Unaka Avenue
Johnson City, TN 37601
877-928-9062

McNabb Center
5310 Ballcamp Pike
Knoxville, TN 37920
865-541-6958

McNabb Center
320 West 3rd North Street
Morristown, TN 37814
423-273-5599

Volunteer Behavioral Health
1200 S Willow Avenue 
Cookeville, TN 38506
800-704-2651

Volunteer Behavioral Health
413 Spring Street
Chattanooga, TN 37405
800-704-2651

Volunteer Behavioral Health
1504 Williams Dr
Murfreesboro, TN 37129
800-704-2651

Mental Health Cooperative
275 Cumberland Bend, Ste. 237
Nashville, TN  37228
615-726-0125

Pathways of Tennessee
238 Summar Drive
Jackson, TN 38301
731-541-8258

Alliance Healthcare Services
951 Court Avenue
Memphis, TN 38103
901-577-9400",https://www.tn.gov/behavioral-health/need-help/crisis-services/walk-in-centers.html
Texas,Texas Suicide Prevention Collaborative,"Call or text 211
ArgiStress Helpline: 833-897-2474
Suicide & Crisis Center of North Texas Hotline: 214-828-1000 or
 text ""CONNECT"" to 741741 
FIND CRISIS HOTLINE BY COUNTY HERE: https://www.hhs.texas.gov/services/mental-health-substance-use/mental-health-crisis-services",https://texassuicideprevention.org/
Utah,Live On Utah,"Call or text 988
Utah Crisis Line & Mobile Crisis Outreach Team:
801-587-3000
Warm Line (non emergency): 833-SPEAKUT
Stabilization & Mobile Response: 833-723-3266
FIND CRISIS CENTER BY COUNTY HERE: https://sumh.utah.gov/contact/location-map/",https://liveonutah.org/resources/
Vermont,"Agency of Human Services
Department of Mental Health","Call or text 988 or text VT to 741741
Peer support: 833-888-2557
Howard Center Crisis Hotline: 802-488-6000
First Call for Chittenden County: 802-488-7777",https://mentalhealth.vermont.gov/suicide-prevention/suicide-prevention-resources
Virginia,Health and Human Services,"Call or text 988 or Text ASKUS to 741741
HopeLink Behavioral Health: 703-536-9000
CR2 (Community Regional Crisis Response): 
844-NCrisis (844-627-4747) in English and Spanish
Lifeline Chat: https://chat.988lifeline.org/
Crisis Intervention Team Assessment Center: 703-777-0320",https://www.loudoun.gov/suicideprevention
Washington,Washington State Department of Health,"Call or text 988 or 211
Clark County Teen Talk: Call 360.397.2428 or Text 360.984.0936
Monday – Friday 4 p.m. to 9 p.m. and Friday 4 p.m. to 7 p.m
Crisis Clinic of Thurston and Mason Counties: 360-586-2800
ImHurting Crisis Chat:
North Sound, including Snohomish, Skagit, San Juan, Island,
 & Whatcom Counties: Call 800-584-3578
Salish, including Clallam, Jefferson, & Kitsap Counties: Call 888-910-0416
Washington Recovery Helpline: 866-789-1511",https://doh.wa.gov/you-and-your-family/injury-and-violence-prevention/suicide-prevention/hotlines-text-and-chat-resources
West Virginia,Prevent Suicide West Virginia,"Call or text 988 or Text START to 741-741
West Virginia’s suicide prevention and substance abuse call line:
844-HELP4WV (884-435-7498)",https://preventsuicidewv.com/
Wisconsin,UW School of Medicine and Public Health,"Call or text 988 or text “HOPELINE” to 741741
Dane County Crisis Line: (608) 280-2600
Suicide & Crisis Lifeline: (800) 273-8255
Substance Abuse and Mental Health Services Administration
Disaster Distress Helpline: 1-800-985-5990 or Text TalkWithUs to 66746",https://www.uwhealth.org/services/mental-behavioral-health-services
Wyoming,Wyoming Department of Health,"Call or text 988
Wyoming 211: Call 211 or text your zip code to 898211
AgriStress Helpline: 1(833)-897-2474
WYO Text Line (non emergency): Text “WYO” to 741-741",https://health.wyo.gov/publichealth/prevention/wivpp/suicide-prevention/other-helplines/
